# Old Mojang name → New Mojang name (26.1 package reorganization)
# Format: OLD_CLASS	NEW_CLASS
net/minecraft/BlockUtil	net/minecraft/util/BlockUtil
net/minecraft/advancements/critereon/DamagePredicate	net/minecraft/advancements/criterion/DamagePredicate
net/minecraft/advancements/critereon/DamagePredicate$Builder	net/minecraft/advancements/criterion/DamagePredicate$Builder
net/minecraft/advancements/critereon/DamageSourcePredicate	net/minecraft/advancements/criterion/DamageSourcePredicate
net/minecraft/advancements/critereon/DamageSourcePredicate$Builder	net/minecraft/advancements/criterion/DamageSourcePredicate$Builder
net/minecraft/advancements/critereon/DefaultBlockInteractionTrigger	net/minecraft/advancements/criterion/DefaultBlockInteractionTrigger
net/minecraft/advancements/critereon/DefaultBlockInteractionTrigger$TriggerInstance	net/minecraft/advancements/criterion/DefaultBlockInteractionTrigger$TriggerInstance
net/minecraft/advancements/critereon/DistancePredicate	net/minecraft/advancements/criterion/DistancePredicate
net/minecraft/advancements/critereon/DistanceTrigger	net/minecraft/advancements/criterion/DistanceTrigger
net/minecraft/advancements/critereon/DistanceTrigger$TriggerInstance	net/minecraft/advancements/criterion/DistanceTrigger$TriggerInstance
net/minecraft/advancements/critereon/EffectsChangedTrigger	net/minecraft/advancements/criterion/EffectsChangedTrigger
net/minecraft/advancements/critereon/EffectsChangedTrigger$TriggerInstance	net/minecraft/advancements/criterion/EffectsChangedTrigger$TriggerInstance
net/minecraft/advancements/critereon/EnchantedItemTrigger	net/minecraft/advancements/criterion/EnchantedItemTrigger
net/minecraft/advancements/critereon/EnchantedItemTrigger$TriggerInstance	net/minecraft/advancements/criterion/EnchantedItemTrigger$TriggerInstance
net/minecraft/advancements/critereon/EnchantmentPredicate	net/minecraft/advancements/criterion/EnchantmentPredicate
net/minecraft/advancements/critereon/EnterBlockTrigger	net/minecraft/advancements/criterion/EnterBlockTrigger
net/minecraft/advancements/critereon/EnterBlockTrigger$TriggerInstance	net/minecraft/advancements/criterion/EnterBlockTrigger$TriggerInstance
net/minecraft/advancements/critereon/EntityEquipmentPredicate	net/minecraft/advancements/criterion/EntityEquipmentPredicate
net/minecraft/advancements/critereon/EntityEquipmentPredicate$Builder	net/minecraft/advancements/criterion/EntityEquipmentPredicate$Builder
net/minecraft/advancements/critereon/EntityFlagsPredicate	net/minecraft/advancements/criterion/EntityFlagsPredicate
net/minecraft/advancements/critereon/EntityFlagsPredicate$Builder	net/minecraft/advancements/criterion/EntityFlagsPredicate$Builder
net/minecraft/advancements/critereon/EntityHurtPlayerTrigger	net/minecraft/advancements/criterion/EntityHurtPlayerTrigger
net/minecraft/advancements/critereon/EntityHurtPlayerTrigger$TriggerInstance	net/minecraft/advancements/criterion/EntityHurtPlayerTrigger$TriggerInstance
net/minecraft/advancements/critereon/EntityPredicate	net/minecraft/advancements/criterion/EntityPredicate
net/minecraft/advancements/critereon/EntityPredicate$Builder	net/minecraft/advancements/criterion/EntityPredicate$Builder
net/minecraft/advancements/critereon/EntityPredicate$LocationWrapper	net/minecraft/advancements/criterion/EntityPredicate$LocationWrapper
net/minecraft/advancements/critereon/EntitySubPredicate	net/minecraft/advancements/criterion/EntitySubPredicate
net/minecraft/advancements/critereon/EntitySubPredicates	net/minecraft/advancements/criterion/EntitySubPredicates
net/minecraft/advancements/critereon/EntityTypePredicate	net/minecraft/advancements/criterion/EntityTypePredicate
net/minecraft/advancements/critereon/FallAfterExplosionTrigger	net/minecraft/advancements/criterion/FallAfterExplosionTrigger
net/minecraft/advancements/critereon/FallAfterExplosionTrigger$TriggerInstance	net/minecraft/advancements/criterion/FallAfterExplosionTrigger$TriggerInstance
net/minecraft/advancements/critereon/FilledBucketTrigger	net/minecraft/advancements/criterion/FilledBucketTrigger
net/minecraft/advancements/critereon/FilledBucketTrigger$TriggerInstance	net/minecraft/advancements/criterion/FilledBucketTrigger$TriggerInstance
net/minecraft/advancements/critereon/FishingHookPredicate	net/minecraft/advancements/criterion/FishingHookPredicate
net/minecraft/advancements/critereon/FishingRodHookedTrigger	net/minecraft/advancements/criterion/FishingRodHookedTrigger
net/minecraft/advancements/critereon/FishingRodHookedTrigger$TriggerInstance	net/minecraft/advancements/criterion/FishingRodHookedTrigger$TriggerInstance
net/minecraft/advancements/critereon/FluidPredicate	net/minecraft/advancements/criterion/FluidPredicate
net/minecraft/advancements/critereon/FluidPredicate$Builder	net/minecraft/advancements/criterion/FluidPredicate$Builder
net/minecraft/advancements/critereon/GameTypePredicate	net/minecraft/advancements/criterion/GameTypePredicate
net/minecraft/advancements/critereon/ImpossibleTrigger	net/minecraft/advancements/criterion/ImpossibleTrigger
net/minecraft/advancements/critereon/ImpossibleTrigger$TriggerInstance	net/minecraft/advancements/criterion/ImpossibleTrigger$TriggerInstance
net/minecraft/advancements/critereon/InputPredicate	net/minecraft/advancements/criterion/InputPredicate
net/minecraft/advancements/critereon/InventoryChangeTrigger	net/minecraft/advancements/criterion/InventoryChangeTrigger
net/minecraft/advancements/critereon/InventoryChangeTrigger$TriggerInstance	net/minecraft/advancements/criterion/InventoryChangeTrigger$TriggerInstance
net/minecraft/advancements/critereon/InventoryChangeTrigger$TriggerInstance$Slots	net/minecraft/advancements/criterion/InventoryChangeTrigger$TriggerInstance$Slots
net/minecraft/advancements/critereon/ItemDurabilityTrigger	net/minecraft/advancements/criterion/ItemDurabilityTrigger
net/minecraft/advancements/critereon/ItemDurabilityTrigger$TriggerInstance	net/minecraft/advancements/criterion/ItemDurabilityTrigger$TriggerInstance
net/minecraft/advancements/critereon/ItemPredicate	net/minecraft/advancements/criterion/ItemPredicate
net/minecraft/advancements/critereon/ItemPredicate$Builder	net/minecraft/advancements/criterion/ItemPredicate$Builder
net/minecraft/advancements/critereon/ItemUsedOnLocationTrigger	net/minecraft/advancements/criterion/ItemUsedOnLocationTrigger
net/minecraft/advancements/critereon/ItemUsedOnLocationTrigger$TriggerInstance	net/minecraft/advancements/criterion/ItemUsedOnLocationTrigger$TriggerInstance
net/minecraft/advancements/critereon/KilledByArrowTrigger	net/minecraft/advancements/criterion/KilledByArrowTrigger
net/minecraft/advancements/critereon/KilledByArrowTrigger$TriggerInstance	net/minecraft/advancements/criterion/KilledByArrowTrigger$TriggerInstance
net/minecraft/advancements/critereon/KilledTrigger	net/minecraft/advancements/criterion/KilledTrigger
net/minecraft/advancements/critereon/KilledTrigger$TriggerInstance	net/minecraft/advancements/criterion/KilledTrigger$TriggerInstance
net/minecraft/advancements/critereon/LevitationTrigger	net/minecraft/advancements/criterion/LevitationTrigger
net/minecraft/advancements/critereon/LevitationTrigger$TriggerInstance	net/minecraft/advancements/criterion/LevitationTrigger$TriggerInstance
net/minecraft/advancements/critereon/LightPredicate	net/minecraft/advancements/criterion/LightPredicate
net/minecraft/advancements/critereon/LightPredicate$Builder	net/minecraft/advancements/criterion/LightPredicate$Builder
net/minecraft/advancements/critereon/LightningBoltPredicate	net/minecraft/advancements/criterion/LightningBoltPredicate
net/minecraft/advancements/critereon/LightningStrikeTrigger	net/minecraft/advancements/criterion/LightningStrikeTrigger
net/minecraft/advancements/critereon/LightningStrikeTrigger$TriggerInstance	net/minecraft/advancements/criterion/LightningStrikeTrigger$TriggerInstance
net/minecraft/advancements/critereon/LocationPredicate	net/minecraft/advancements/criterion/LocationPredicate
net/minecraft/advancements/critereon/LocationPredicate$Builder	net/minecraft/advancements/criterion/LocationPredicate$Builder
net/minecraft/advancements/critereon/LocationPredicate$PositionPredicate	net/minecraft/advancements/criterion/LocationPredicate$PositionPredicate
net/minecraft/advancements/critereon/LootTableTrigger	net/minecraft/advancements/criterion/LootTableTrigger
net/minecraft/advancements/critereon/LootTableTrigger$TriggerInstance	net/minecraft/advancements/criterion/LootTableTrigger$TriggerInstance
net/minecraft/advancements/critereon/MinMaxBounds	net/minecraft/advancements/criterion/MinMaxBounds
net/minecraft/advancements/critereon/MinMaxBounds$Doubles	net/minecraft/advancements/criterion/MinMaxBounds$Doubles
net/minecraft/advancements/critereon/MinMaxBounds$Ints	net/minecraft/advancements/criterion/MinMaxBounds$Ints
net/minecraft/advancements/critereon/MobEffectsPredicate	net/minecraft/advancements/criterion/MobEffectsPredicate
net/minecraft/advancements/critereon/MobEffectsPredicate$Builder	net/minecraft/advancements/criterion/MobEffectsPredicate$Builder
net/minecraft/advancements/critereon/MobEffectsPredicate$MobEffectInstancePredicate	net/minecraft/advancements/criterion/MobEffectsPredicate$MobEffectInstancePredicate
net/minecraft/advancements/critereon/MovementPredicate	net/minecraft/advancements/criterion/MovementPredicate
net/minecraft/advancements/critereon/NbtPredicate	net/minecraft/advancements/criterion/NbtPredicate
net/minecraft/advancements/critereon/PickedUpItemTrigger	net/minecraft/advancements/criterion/PickedUpItemTrigger
net/minecraft/advancements/critereon/PickedUpItemTrigger$TriggerInstance	net/minecraft/advancements/criterion/PickedUpItemTrigger$TriggerInstance
net/minecraft/advancements/critereon/PlayerHurtEntityTrigger	net/minecraft/advancements/criterion/PlayerHurtEntityTrigger
net/minecraft/advancements/critereon/PlayerHurtEntityTrigger$TriggerInstance	net/minecraft/advancements/criterion/PlayerHurtEntityTrigger$TriggerInstance
net/minecraft/advancements/critereon/PlayerInteractTrigger	net/minecraft/advancements/criterion/PlayerInteractTrigger
net/minecraft/advancements/critereon/PlayerInteractTrigger$TriggerInstance	net/minecraft/advancements/criterion/PlayerInteractTrigger$TriggerInstance
net/minecraft/advancements/critereon/PlayerPredicate	net/minecraft/advancements/criterion/PlayerPredicate
net/minecraft/advancements/critereon/PlayerPredicate$AdvancementCriterionsPredicate	net/minecraft/advancements/criterion/PlayerPredicate$AdvancementCriterionsPredicate
net/minecraft/advancements/critereon/PlayerPredicate$AdvancementDonePredicate	net/minecraft/advancements/criterion/PlayerPredicate$AdvancementDonePredicate
net/minecraft/advancements/critereon/PlayerPredicate$AdvancementPredicate	net/minecraft/advancements/criterion/PlayerPredicate$AdvancementPredicate
net/minecraft/advancements/critereon/PlayerPredicate$Builder	net/minecraft/advancements/criterion/PlayerPredicate$Builder
net/minecraft/advancements/critereon/PlayerPredicate$StatMatcher	net/minecraft/advancements/criterion/PlayerPredicate$StatMatcher
net/minecraft/advancements/critereon/PlayerTrigger	net/minecraft/advancements/criterion/PlayerTrigger
net/minecraft/advancements/critereon/PlayerTrigger$TriggerInstance	net/minecraft/advancements/criterion/PlayerTrigger$TriggerInstance
net/minecraft/advancements/critereon/RaiderPredicate	net/minecraft/advancements/criterion/RaiderPredicate
net/minecraft/advancements/critereon/RecipeCraftedTrigger	net/minecraft/advancements/criterion/RecipeCraftedTrigger
net/minecraft/advancements/critereon/RecipeCraftedTrigger$TriggerInstance	net/minecraft/advancements/criterion/RecipeCraftedTrigger$TriggerInstance
net/minecraft/advancements/critereon/RecipeUnlockedTrigger	net/minecraft/advancements/criterion/RecipeUnlockedTrigger
net/minecraft/advancements/critereon/RecipeUnlockedTrigger$TriggerInstance	net/minecraft/advancements/criterion/RecipeUnlockedTrigger$TriggerInstance
net/minecraft/advancements/critereon/SheepPredicate	net/minecraft/advancements/criterion/SheepPredicate
net/minecraft/advancements/critereon/ShotCrossbowTrigger	net/minecraft/advancements/criterion/ShotCrossbowTrigger
net/minecraft/advancements/critereon/ShotCrossbowTrigger$TriggerInstance	net/minecraft/advancements/criterion/ShotCrossbowTrigger$TriggerInstance
net/minecraft/advancements/critereon/SimpleCriterionTrigger	net/minecraft/advancements/criterion/SimpleCriterionTrigger
net/minecraft/advancements/critereon/SimpleCriterionTrigger$SimpleInstance	net/minecraft/advancements/criterion/SimpleCriterionTrigger$SimpleInstance
net/minecraft/advancements/critereon/SingleComponentItemPredicate	net/minecraft/advancements/criterion/SingleComponentItemPredicate
net/minecraft/advancements/critereon/SlideDownBlockTrigger	net/minecraft/advancements/criterion/SlideDownBlockTrigger
net/minecraft/advancements/critereon/SlideDownBlockTrigger$TriggerInstance	net/minecraft/advancements/criterion/SlideDownBlockTrigger$TriggerInstance
net/minecraft/advancements/critereon/SlimePredicate	net/minecraft/advancements/criterion/SlimePredicate
net/minecraft/advancements/critereon/SlotsPredicate	net/minecraft/advancements/criterion/SlotsPredicate
net/minecraft/advancements/critereon/StartRidingTrigger	net/minecraft/advancements/criterion/StartRidingTrigger
net/minecraft/advancements/critereon/StartRidingTrigger$TriggerInstance	net/minecraft/advancements/criterion/StartRidingTrigger$TriggerInstance
net/minecraft/advancements/critereon/StatePropertiesPredicate	net/minecraft/advancements/criterion/StatePropertiesPredicate
net/minecraft/advancements/critereon/StatePropertiesPredicate$Builder	net/minecraft/advancements/criterion/StatePropertiesPredicate$Builder
net/minecraft/advancements/critereon/StatePropertiesPredicate$ExactMatcher	net/minecraft/advancements/criterion/StatePropertiesPredicate$ExactMatcher
net/minecraft/advancements/critereon/StatePropertiesPredicate$PropertyMatcher	net/minecraft/advancements/criterion/StatePropertiesPredicate$PropertyMatcher
net/minecraft/advancements/critereon/StatePropertiesPredicate$RangedMatcher	net/minecraft/advancements/criterion/StatePropertiesPredicate$RangedMatcher
net/minecraft/advancements/critereon/StatePropertiesPredicate$ValueMatcher	net/minecraft/advancements/criterion/StatePropertiesPredicate$ValueMatcher
net/minecraft/advancements/critereon/SummonedEntityTrigger	net/minecraft/advancements/criterion/SummonedEntityTrigger
net/minecraft/advancements/critereon/SummonedEntityTrigger$TriggerInstance	net/minecraft/advancements/criterion/SummonedEntityTrigger$TriggerInstance
net/minecraft/advancements/critereon/TagPredicate	net/minecraft/advancements/criterion/TagPredicate
net/minecraft/advancements/critereon/TameAnimalTrigger	net/minecraft/advancements/criterion/TameAnimalTrigger
net/minecraft/advancements/critereon/TameAnimalTrigger$TriggerInstance	net/minecraft/advancements/criterion/TameAnimalTrigger$TriggerInstance
net/minecraft/advancements/critereon/TargetBlockTrigger	net/minecraft/advancements/criterion/TargetBlockTrigger
net/minecraft/advancements/critereon/TargetBlockTrigger$TriggerInstance	net/minecraft/advancements/criterion/TargetBlockTrigger$TriggerInstance
net/minecraft/advancements/critereon/TradeTrigger	net/minecraft/advancements/criterion/TradeTrigger
net/minecraft/advancements/critereon/TradeTrigger$TriggerInstance	net/minecraft/advancements/criterion/TradeTrigger$TriggerInstance
net/minecraft/advancements/critereon/UsedEnderEyeTrigger	net/minecraft/advancements/criterion/UsedEnderEyeTrigger
net/minecraft/advancements/critereon/UsedEnderEyeTrigger$TriggerInstance	net/minecraft/advancements/criterion/UsedEnderEyeTrigger$TriggerInstance
net/minecraft/advancements/critereon/UsedTotemTrigger	net/minecraft/advancements/criterion/UsedTotemTrigger
net/minecraft/advancements/critereon/UsedTotemTrigger$TriggerInstance	net/minecraft/advancements/criterion/UsedTotemTrigger$TriggerInstance
net/minecraft/advancements/critereon/UsingItemTrigger	net/minecraft/advancements/criterion/UsingItemTrigger
net/minecraft/advancements/critereon/UsingItemTrigger$TriggerInstance	net/minecraft/advancements/criterion/UsingItemTrigger$TriggerInstance
net/minecraft/client/GuiMessage	net/minecraft/client/multiplayer/chat/GuiMessage
net/minecraft/client/GuiMessage$Line	net/minecraft/client/multiplayer/chat/GuiMessage$Line
net/minecraft/client/GuiMessageTag	net/minecraft/client/multiplayer/chat/GuiMessageTag
net/minecraft/client/GuiMessageTag$Icon	net/minecraft/client/multiplayer/chat/GuiMessageTag$Icon
net/minecraft/client/data/models/blockstates/Condition	net/minecraft/client/renderer/block/dispatch/multipart/Condition
net/minecraft/client/data/models/blockstates/Selector	net/minecraft/client/renderer/block/dispatch/multipart/Selector
net/minecraft/client/data/models/blockstates/Variant	net/minecraft/client/renderer/block/dispatch/Variant
net/minecraft/client/model/AbstractBoatModel	net/minecraft/client/model/object/boat/AbstractBoatModel
net/minecraft/client/model/AbstractEquineModel	net/minecraft/client/model/animal/equine/AbstractEquineModel
net/minecraft/client/model/AbstractPiglinModel	net/minecraft/client/model/monster/piglin/AbstractPiglinModel
net/minecraft/client/model/AbstractZombieModel	net/minecraft/client/model/monster/zombie/AbstractZombieModel
net/minecraft/client/model/AllayModel	net/minecraft/client/model/animal/allay/AllayModel
net/minecraft/client/model/ArmadilloModel	net/minecraft/client/model/animal/armadillo/ArmadilloModel
net/minecraft/client/model/ArmorStandArmorModel	net/minecraft/client/model/object/armorstand/ArmorStandArmorModel
net/minecraft/client/model/ArmorStandModel	net/minecraft/client/model/object/armorstand/ArmorStandModel
net/minecraft/client/model/ArrowModel	net/minecraft/client/model/object/projectile/ArrowModel
net/minecraft/client/model/BannerFlagModel	net/minecraft/client/model/object/banner/BannerFlagModel
net/minecraft/client/model/BannerModel	net/minecraft/client/model/object/banner/BannerModel
net/minecraft/client/model/BatModel	net/minecraft/client/model/ambient/BatModel
net/minecraft/client/model/BeeModel	net/minecraft/client/model/animal/bee/BeeModel
net/minecraft/client/model/BeeStingerModel	net/minecraft/client/model/animal/bee/BeeStingerModel
net/minecraft/client/model/BellModel	net/minecraft/client/model/object/bell/BellModel
net/minecraft/client/model/BlazeModel	net/minecraft/client/model/monster/blaze/BlazeModel
net/minecraft/client/model/BoatModel	net/minecraft/client/model/object/boat/BoatModel
net/minecraft/client/model/BoggedModel	net/minecraft/client/model/monster/skeleton/BoggedModel
net/minecraft/client/model/BookModel	net/minecraft/client/model/object/book/BookModel
net/minecraft/client/model/BreezeModel	net/minecraft/client/model/monster/breeze/BreezeModel
net/minecraft/client/model/CamelModel	net/minecraft/client/model/animal/camel/CamelModel
net/minecraft/client/model/ChestModel	net/minecraft/client/model/object/chest/ChestModel
net/minecraft/client/model/ChickenModel	net/minecraft/client/model/animal/chicken/ChickenModel
net/minecraft/client/model/CodModel	net/minecraft/client/model/animal/fish/CodModel
net/minecraft/client/model/CowModel	net/minecraft/client/model/animal/cow/CowModel
net/minecraft/client/model/CreakingModel	net/minecraft/client/model/monster/creaking/CreakingModel
net/minecraft/client/model/CreeperModel	net/minecraft/client/model/monster/creeper/CreeperModel
net/minecraft/client/model/DolphinModel	net/minecraft/client/model/animal/dolphin/DolphinModel
net/minecraft/client/model/DonkeyModel	net/minecraft/client/model/animal/equine/DonkeyModel
net/minecraft/client/model/DrownedModel	net/minecraft/client/model/monster/zombie/DrownedModel
net/minecraft/client/model/ElytraModel	net/minecraft/client/model/object/equipment/ElytraModel
net/minecraft/client/model/EndCrystalModel	net/minecraft/client/model/object/crystal/EndCrystalModel
net/minecraft/client/model/EndermanModel	net/minecraft/client/model/monster/enderman/EndermanModel
net/minecraft/client/model/EndermiteModel	net/minecraft/client/model/monster/endermite/EndermiteModel
net/minecraft/client/model/EvokerFangsModel	net/minecraft/client/model/effects/EvokerFangsModel
net/minecraft/client/model/FoxModel	net/minecraft/client/model/animal/fox/FoxModel
net/minecraft/client/model/FrogModel	net/minecraft/client/model/animal/frog/FrogModel
net/minecraft/client/model/GhastModel	net/minecraft/client/model/monster/ghast/GhastModel
net/minecraft/client/model/GiantZombieModel	net/minecraft/client/model/monster/zombie/GiantZombieModel
net/minecraft/client/model/GoatModel	net/minecraft/client/model/animal/goat/GoatModel
net/minecraft/client/model/GuardianModel	net/minecraft/client/model/monster/guardian/GuardianModel
net/minecraft/client/model/HoglinModel	net/minecraft/client/model/monster/hoglin/HoglinModel
net/minecraft/client/model/HorseModel	net/minecraft/client/model/animal/equine/HorseModel
net/minecraft/client/model/IllagerModel	net/minecraft/client/model/monster/illager/IllagerModel
net/minecraft/client/model/IronGolemModel	net/minecraft/client/model/animal/golem/IronGolemModel
net/minecraft/client/model/LeashKnotModel	net/minecraft/client/model/object/leash/LeashKnotModel
net/minecraft/client/model/LlamaModel	net/minecraft/client/model/animal/llama/LlamaModel
net/minecraft/client/model/LlamaSpitModel	net/minecraft/client/model/animal/llama/LlamaSpitModel
net/minecraft/client/model/MinecartModel	net/minecraft/client/model/object/cart/MinecartModel
net/minecraft/client/model/PandaModel	net/minecraft/client/model/animal/panda/PandaModel
net/minecraft/client/model/ParrotModel	net/minecraft/client/model/animal/parrot/ParrotModel
net/minecraft/client/model/ParrotModel$Pose	net/minecraft/client/model/animal/parrot/ParrotModel$Pose
net/minecraft/client/model/PhantomModel	net/minecraft/client/model/monster/phantom/PhantomModel
net/minecraft/client/model/PigModel	net/minecraft/client/model/animal/pig/PigModel
net/minecraft/client/model/PiglinHeadModel	net/minecraft/client/model/object/skull/PiglinHeadModel
net/minecraft/client/model/PiglinModel	net/minecraft/client/model/monster/piglin/PiglinModel
net/minecraft/client/model/PlayerCapeModel	net/minecraft/client/model/player/PlayerCapeModel
net/minecraft/client/model/PlayerEarsModel	net/minecraft/client/model/player/PlayerEarsModel
net/minecraft/client/model/PlayerModel	net/minecraft/client/model/player/PlayerModel
net/minecraft/client/model/PolarBearModel	net/minecraft/client/model/animal/polarbear/PolarBearModel
net/minecraft/client/model/PufferfishBigModel	net/minecraft/client/model/animal/fish/PufferfishBigModel
net/minecraft/client/model/PufferfishMidModel	net/minecraft/client/model/animal/fish/PufferfishMidModel
net/minecraft/client/model/PufferfishSmallModel	net/minecraft/client/model/animal/fish/PufferfishSmallModel
net/minecraft/client/model/RabbitModel	net/minecraft/client/model/animal/rabbit/RabbitModel
net/minecraft/client/model/RaftModel	net/minecraft/client/model/object/boat/RaftModel
net/minecraft/client/model/RavagerModel	net/minecraft/client/model/monster/ravager/RavagerModel
net/minecraft/client/model/SalmonModel	net/minecraft/client/model/animal/fish/SalmonModel
net/minecraft/client/model/SheepFurModel	net/minecraft/client/model/animal/sheep/SheepFurModel
net/minecraft/client/model/SheepModel	net/minecraft/client/model/animal/sheep/SheepModel
net/minecraft/client/model/ShieldModel	net/minecraft/client/model/object/equipment/ShieldModel
net/minecraft/client/model/ShulkerBulletModel	net/minecraft/client/model/object/projectile/ShulkerBulletModel
net/minecraft/client/model/ShulkerModel	net/minecraft/client/model/monster/shulker/ShulkerModel
net/minecraft/client/model/SilverfishModel	net/minecraft/client/model/monster/silverfish/SilverfishModel
net/minecraft/client/model/SkeletonModel	net/minecraft/client/model/monster/skeleton/SkeletonModel
net/minecraft/client/model/SkullModel	net/minecraft/client/model/object/skull/SkullModel
net/minecraft/client/model/SkullModelBase	net/minecraft/client/model/object/skull/SkullModelBase
net/minecraft/client/model/SlimeModel	net/minecraft/client/model/monster/slime/SlimeModel
net/minecraft/client/model/SnifferModel	net/minecraft/client/model/animal/sniffer/SnifferModel
net/minecraft/client/model/SnowGolemModel	net/minecraft/client/model/animal/golem/SnowGolemModel
net/minecraft/client/model/SpiderModel	net/minecraft/client/model/monster/spider/SpiderModel
net/minecraft/client/model/SpinAttackEffectModel	net/minecraft/client/model/effects/SpinAttackEffectModel
net/minecraft/client/model/SquidModel	net/minecraft/client/model/animal/squid/SquidModel
net/minecraft/client/model/StriderModel	net/minecraft/client/model/monster/strider/StriderModel
net/minecraft/client/model/TadpoleModel	net/minecraft/client/model/animal/frog/TadpoleModel
net/minecraft/client/model/TridentModel	net/minecraft/client/model/object/projectile/TridentModel
