# Retromod 1.12.2 (MCP) -> 26.1 (Mojang) class moves. Targets validated vs the 26.1 jar.
net/minecraft/util/NonNullList	net/minecraft/core/NonNullList
net/minecraft/util/Rotation	net/minecraft/world/level/block/Rotation
net/minecraft/util/SoundCategory	net/minecraft/sounds/SoundSource
net/minecraft/util/SoundEvent	net/minecraft/sounds/SoundEvent
net/minecraft/util/SoundEvents	net/minecraft/sounds/SoundEvents
net/minecraft/util/math/AxisAlignedBB	net/minecraft/world/phys/AABB
net/minecraft/util/math/BlockPos	net/minecraft/core/BlockPos
net/minecraft/util/math/BlockPos$MutableBlockPos	net/minecraft/core/BlockPos$MutableBlockPos
net/minecraft/util/math/ChunkPos	net/minecraft/world/level/ChunkPos
net/minecraft/util/math/MathHelper	net/minecraft/util/Mth
net/minecraft/util/math/RayTraceResult	net/minecraft/world/phys/HitResult
net/minecraft/util/math/RayTraceResult$Type	net/minecraft/world/phys/HitResult$Type
net/minecraft/util/math/vector/Vector3d	net/minecraft/world/phys/Vec3
net/minecraft/util/text/ITextComponent	net/minecraft/network/chat/Component
net/minecraft/util/text/Style	net/minecraft/network/chat/Style
net/minecraft/util/text/TextComponentString	net/minecraft/network/chat/Component
net/minecraft/util/text/TextComponentTranslation	net/minecraft/network/chat/Component
net/minecraft/util/text/TextFormatting	net/minecraft/ChatFormatting
net/minecraft/util/text/event/ClickEvent	net/minecraft/network/chat/ClickEvent
net/minecraft/util/text/event/ClickEvent$Action	net/minecraft/network/chat/ClickEvent$Action
net/minecraft/util/text/translation/I18n	net/minecraft/network/chat/contents/TranslatableContents
net/minecraft/world/EnumDifficulty	net/minecraft/world/Difficulty
net/minecraft/world/Explosion	net/minecraft/world/level/Explosion
net/minecraft/world/IBlockAccess	net/minecraft/world/level/BlockGetter
net/minecraft/world/World	net/minecraft/world/level/Level
net/minecraft/world/WorldProvider	net/minecraft/world/level/dimension/DimensionType
net/minecraft/world/biome/Biome	net/minecraft/world/level/biome/Biome
net/minecraft/world/chunk/Chunk	net/minecraft/world/level/chunk/LevelChunk
net/minecraft/world/server/ServerWorld	net/minecraft/server/level/ServerLevel
net/minecraft/world/storage/WorldSavedData	net/minecraft/world/level/saveddata/SavedData
net/minecraft/util/ResourceLocation	net/minecraft/resources/Identifier
net/minecraft/world/GameRules	net/minecraft/world/level/gamerules/GameRules
net/minecraft/item/ItemArmor$ArmorMaterial	net/minecraft/world/item/equipment/ArmorMaterials
net/minecraft/inventory/container/Container	net/minecraft/world/inventory/AbstractContainerMenu
net/minecraft/inventory/container/Slot	net/minecraft/world/inventory/Slot
net/minecraft/inventory/InventoryCrafting	net/minecraft/world/inventory/CraftingContainer
net/minecraft/inventory/ContainerPlayer	net/minecraft/world/inventory/InventoryMenu
